Depth (ft),Sv (psi)
5819,6546.027764
5819.5,6546.583962
5820,6547.142939
5820.5,6547.693898
5821,6548.24231
5821.5,6548.789614
5822,6549.335457
5822.5,6549.883337
5823,6550.425348
5823.5,6550.963714
5824,6551.501206
5824.5,6552.039008
5825,6552.578538
5825.5,6553.121922
5826,6553.665948
5826.5,6554.207958
5827,6554.754399
5827.5,6555.298979
5828,6555.836404
5828.5,6556.375015
5829,6556.914644
5829.5,6557.457541
5830,6558.007957
5830.5,6558.561475
5831,6559.112411
5831.5,6559.660746
5832,6560.210287
5832.5,6560.759829
5833,6561.310312
5833.5,6561.859
5834,6562.412662
5834.5,6562.969911
5835,6563.52303
5835.5,6564.072815
5836,6564.621238
5836.5,6565.171721
5837,6565.717386
5837.5,6566.25788
5838,6566.806524
5838.5,6567.367572
5839,6567.930326
5839.5,6568.484254
5840,6569.030894
5840.5,6569.576913
5841,6570.123863
5841.5,6570.669661
5842,6571.215061
5842.5,6571.765699
5843,6572.311774
5843.5,6572.849133
5844,6573.391741
5844.5,6573.944483
5845,6574.502542
5845.5,6575.057621
5846,6575.603474
5846.5,6576.148242
5847,6576.704429
5847.5,6577.26272
5848,6577.815406
5848.5,6578.366897
5849,6578.915951
5849.5,6579.462314
5850,6580.009973
5850.5,6580.55741
5851,6581.104094
5851.5,6581.655275
5852,6582.218372
5852.5,6582.797971
5853,6583.373893
5853.5,6583.935496
5854,6584.492203
5854.5,6585.050759
5855,6585.612926
5855.5,6586.173022
5856,6586.733849
5856.5,6587.297212
5857,6587.8631
5857.5,6588.426873
5858,6588.990314
5858.5,6589.556723
5859,6590.120783
5859.5,6590.684833
5860,6591.249392
5860.5,6591.814483
5861,6592.380482
5861.5,6592.944399
5862,6593.503543
5862.5,6594.06149
5863,6594.6206
5863.5,6595.177573
5864,6595.734723
5864.5,6596.289935
5865,6596.847495
5865.5,6597.406539
5866,6597.961961
5866.5,6598.515656
5867,6599.069461
5867.5,6599.624773
5868,6600.177027
5868.5,6600.730069
5869,6601.286078
5869.5,6601.843649
5870,6602.402848
5870.5,6602.962922
5871,6603.521212
5871.5,6604.075128
5872,6604.627372
5872.5,6605.182938
5873,6605.742691
5873.5,6606.303297
5874,6606.857423
5874.5,6607.406954
5875,6607.956406
5875.5,6608.502924
5876,6609.048634
5876.5,6609.598098
5877,6610.150585
5877.5,6610.70737
5878,6611.264808
5878.5,6611.81755
5879,6612.369185
5879.5,6612.919778
5880,6613.469076
5880.5,6614.016436
5881,6614.559488
5881.5,6615.099604
5882,6615.63724
5882.5,6616.175496
5883,6616.719101
5883.5,6617.27201
5884,6617.827155
5884.5,6618.380817
5885,6618.938354
5885.5,6619.496213
5886,6620.049498
5886.5,6620.597965
5887,6621.141759
5887.5,6621.68409
5888,6622.230863
5888.5,6622.784923
5889,6623.340445
5889.5,6623.892733
5890,6624.448078
5890.5,6625.003899
5891,6625.552621
5891.5,6626.096071
5892,6626.636144
5892.5,6627.173326
5893,6627.715812
5893.5,6628.280803
5894,6628.852794
5894.5,6629.414496
5895,6629.974381
